Reference area,Frequency of observation,Measure,Unit of measure,Price base,TIME_PERIOD,OBS_VALUE
France,Annual,Gross domestic product,Percent per annum,Constant prices,2023,0.936487526
France,Annual,Gross domestic product,Percent per annum,Constant prices,2024,1.166138501
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,1996,1.038155831
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,1997,1.854817256
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,1998,2.09616139
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,1999,2.130116709
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2000,2.877245954
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2001,1.636540992
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2002,-0.228310223
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2003,-0.529929025
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2004,1.162368259
Germany,Annual,Gross domestic product,Percent per annum,Constant prices,2005,0.885697264
